"Domain Name",URL,"Univocal Domain Names","Enforcement Type","Intervention Timeline - Latest Action","Enforcement Status",Notes,"Registrant Name","Registrant Organization","Registrant Contact Address","Registrant Contact Country","Registrant Email","Registrant Phone Number","Domain Names Group",Brand,"Content Category","Infringement Type",Source,Screenshot,"Top Level Domain","Domain IPServer","Hosting Provider","Insertion Date","Creation Date","Expiration Date",Registrar,Network,Region,id
oveet.top,http://www.oveet.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 10:07:32",Solved,N/A,Redacted,Redacted,NY,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202312_A065.jpg,.top,104.21.38.232,"CloudFlare Inc.",2023-12-21,19-12-2023,19-12-2024,"HongKong Kouming International Limited",N/A,US,40919,
ptueimb.top,http://www.ptueimb.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 17:21:02",Solved,N/A,Redacted,Redacted,NJ,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202310_S104.jpg,.top,172.67.210.250,"CloudFlare Inc.",2023-10-26,13-10-2023,13-10-2024,"HongKong Kouming International Limited",N/A,US,40920,
badehosenshop.com,http://www.badehosenshop.com,"Univocal Domain Names","Notification to Registrar","2023-12-27 17:30:09",Solved,N/A,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,"Generic Domain Names","Under Armour",Apparel,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202312_P037.jpg,.com,172.67.162.105,"CloudFlare Inc.",2023-12-12,29-11-2007,29-11-2024,"Gname.com Pte. Ltd.",N/A,Redacted,40921,
timchaussures.shop,http://www.timchaussures.shop,"Univocal Domain Names","Notification to Registrar","2023-12-28 16:35:54",Solved,N/A,Redacted,Redacted,Region Metropolitana,CL,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202312_P076.jpg,.shop,199.21.150.9,"Netminders Data Solution",2023-12-27,10-11-2023,10-11-2024,"Ledl.net GmbH","Network 70",LATAM,40922,
uirye.top,http://www.uirye.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 10:30:30",Solved,N/A,Redacted,Redacted,PA,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202312_A069.jpg,.top,104.21.34.148,"CloudFlare Inc.",2023-12-21,18-12-2023,18-12-2024,"HongKong Kouming International Limited",N/A,US,40926,
zaizhuangli.top,http://www.zaizhuangli.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 17:19:02",Solved,N/A,Redacted,Redacted,CA,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202311_S016.jpg,.top,104.21.27.239,"CloudFlare Inc.",2023-11-09,23-10-2023,23-10-2024,"HongKong Kouming International Limited",N/A,US,40933,
jkjshop1.top,https://jkjshop1.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 17:19:42",Solved,N/A,Redacted,Redacted,Other,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202310_S092.jpg,.top,172.67.173.93,"CloudFlare Inc.",2023-10-26,14-10-2023,14-10-2024,"HongKong Kouming International Limited",N/A,US,40940,
birzya.top,http://www.birzya.top,"Univocal Domain Names","Notification to Domain Name Registry","2023-12-27 17:20:19",Solved,N/A,Redacted,Redacted,MI,US,Redacted,Redacted,"Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202310_S120.jpg,.top,104.21.39.48,"CloudFlare Inc.",2023-10-31,28-10-2023,28-10-2024,"HongKong Kouming International Limited",N/A,US,40947,
xtriblog.com,http://www.xtriblog.com,"Univocal Domain Names","Notification to Registrar","2023-12-27 17:24:58",Solved,N/A,Redacted,Whoisprotection.cc,"L4-E-2, Level 4, Enterprise 4, Technology Park Malaysia, Bukit Jalil - Kuala Lumpur - Wilayah Persekutuan - 57000",MY,reg_20229221@whoisprotection.cc,"Tel. 60389966788","Generic Domain Names","Under Armour",Shoes,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202310_S113.jpg,.com,179.43.152.176,"Private Layer INC",2023-10-26,14-11-2022,14-11-2023,"Web Commerce Communications Limited",N/A,APAC,40953,
newsportswearit.com,http://www.newsportswearit.com,"Univocal Domain Names","Notification to Registrar","2023-12-27 17:34:38",Solved,N/A,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,"Generic Domain Names","Under Armour",Apparel,Counterfeit,"Proactive Monitoring",https://conveynet.com/Screenshot/[UADOMAIN]/UA_202312_P038.jpg,.com,172.67.216.253,"CloudFlare Inc.",2023-12-12,23-10-2023,23-10-2024,"Gname.com Pte. Ltd.",N/A,Redacted,40954,
